datetime,trw_high,trw_low,y_hat_high,y_hat_low
2011-07-07 13:30:00,7.271592999999999,7.095762,7.405201142399435,7.340077896378185
2011-07-12 13:30:00,7.049930000000001,6.791599000000001,6.902925096666677,6.681951578540916
2011-07-21 13:30:00,7.2607610000000005,7.104096000000001,7.257318680997898,7.04059728755311
2011-07-22 13:30:00,7.217428,7.004097,7.257318680997898,7.05251679777661
2011-07-25 13:30:00,7.1232619999999995,6.977264,7.153972951453259,7.004363489453293
2011-08-01 13:30:00,6.275771,5.805775,6.381117131676605,6.050504893869047
2011-08-03 13:30:00,5.67411,5.015783,5.918856224085247,5.663474197661077
2011-08-04 13:30:00,5.260781,4.579955,5.286256002983371,4.979872498854989
2011-08-10 13:30:00,4.666737,4.013293,4.2761721787391105,3.863782350399
2011-08-16 13:30:00,4.942451,4.63912,4.844503301286821,4.5432873841611086
2011-08-26 13:30:00,4.883285,4.64162,4.49288961622576,4.117975738316757
2011-08-31 13:30:00,5.1291150000000005,4.800219,5.039180533257463,4.772105051909523
2011-09-06 13:30:00,4.729119,4.503287,4.415382831801809,4.115078920507833
2011-09-07 13:30:00,4.800784999999999,4.539955,4.771484317840024,4.4679414542539355
2011-09-09 13:30:00,4.2966239999999996,4.0041269999999995,4.472866131457286,4.1294193664771734
2011-09-21 13:30:00,4.037218,3.713214,4.737799508239771,4.337577029687125
2011-10-03 13:30:00,3.7716279999999998,3.269968,3.945228327999702,3.759613783322188
2011-10-05 13:30:00,4.208291,3.874129,4.141349063053461,3.9003713570739573
2011-10-07 13:30:00,4.510788,4.28329,4.275279400946869,3.984024061542778
2011-10-17 13:30:00,4.94995,4.454122,4.847215862804783,4.553151695961712
2011-10-20 13:30:00,5.018283,4.854118,4.830076434483729,4.575765620065993
2011-10-21 13:30:00,5.247448,5.014117,5.171911280257222,4.910676693484308
2011-11-01 13:30:00,5.028283,4.833285,4.860443244456388,4.658484130254522
2011-11-09 14:30:00,5.04745,4.8132839999999995,4.954040949165655,4.704822215707866
2011-11-10 14:30:00,5.28578,5.134115,5.008876422928894,4.7963357744113
2011-12-02 14:30:00,5.2482809999999995,5.041616,5.168763539348407,4.98923447577641
2011-12-08 14:30:00,5.114949,4.8816180000000005,4.955929224567922,4.70285540897051
2011-12-16 14:30:00,4.7149529999999995,4.4407879999999995,4.835030719694992,4.6797344825436795
2011-12-30 14:30:00,5.400779,5.277447,5.258360049379707,5.074495066709979
2012-01-06 14:30:00,5.389113,5.287447,5.400278641487287,5.2355234181151
2012-01-09 14:30:00,5.572945,5.489112,5.401063668816858,5.259308886769393
2012-01-10 14:30:00,5.550778,5.438362000000001,5.530807501779537,5.366731725460604
2012-01-12 14:30:00,5.4991129999999995,5.3407800000000005,5.575196962356445,5.38350639811453
2012-01-19 14:30:00,5.835775,5.760776,5.955709534977944,5.776151563502152
2012-01-23 14:30:00,5.839942,5.708276000000001,6.060814214079489,5.830412879597095
2012-01-27 14:30:00,5.855775,5.667441999999999,6.072706209502664,5.90825507872672
2012-01-31 14:30:00,6.083273,5.941607,6.0057161897869795,5.748818804214441
2012-02-06 14:30:00,6.356537,6.168337999999999,6.353879332689112,6.233035132026415
2012-02-10 14:30:00,6.4182690000000004,6.311604,6.365941084066815,6.2003743846309085
2012-02-14 14:30:00,6.470768,6.255772,6.454151483583807,6.2840378997456225
2012-02-15 14:30:00,6.525768,6.274937,6.432045978822486,6.220300425955222
2012-02-17 14:30:00,6.6366,6.489935,6.615456057537802,6.456957327271146
2012-02-23 14:30:00,6.660766000000001,6.579935000000001,6.605763540740787,6.454035498680462
2012-02-27 14:30:00,6.7166,6.610100999999999,6.69811464720707,6.633363864828501
2012-03-01 14:30:00,6.737433,6.604617,6.868625874992225,6.714929121020541
2012-03-05 14:30:00,6.36327,6.208271,6.645086784121288,6.444967902956223
2012-03-12 13:30:00,7.03993,6.747433,6.839863321794446,6.650189483214722
2012-03-21 13:30:00,7.02493,6.897431,7.257243337370258,7.097376334489565
2012-03-27 13:30:00,7.281594,7.02243,7.297523164664648,7.179029576763045
2012-03-29 13:30:00,7.241592999999999,7.088261999999999,7.202408564782694,7.034366219881294
2012-03-30 13:30:00,7.414092999999999,7.134094999999999,7.259152296535525,7.0720572762891285
2012-04-11 13:30:00,6.884931,6.605866000000001,6.699086286201684,6.4005512537086275
